epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,37916.7,0.61686,0.37016,0.97478,0.89859,0.82183,0.87639,0.69392,0.52052,0.27026,0.90576,0.00174835,0.000582783,0.00174835,0.000582783,0.00174835,0.000582783,0.00174835,0.000582783
31,38715.5,0.61162,0.36908,0.96915,0.8833,0.80279,0.87927,0.70461,0.51991,0.27535,0.91088,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534,0.0017146,0.000571534
32,39994.3,0.59662,0.3584,0.96873,0.88704,0.79998,0.88024,0.69946,0.52368,0.2744,0.91208,0.00168085,0.000560285,0.00168085,0.000560285,0.00168085,0.000560285,0.00168085,0.000560285
33,40774.9,0.60361,0.35993,0.97462,0.86216,0.80262,0.87315,0.70571,0.51791,0.27476,0.9184,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
34,41674.3,0.6068,0.36562,0.98159,0.87607,0.83662,0.88225,0.70699,0.51857,0.26941,0.92218,0.00161336,0.000537787,0.00161336,0.000537787,0.00161336,0.000537787,0.00161336,0.000537787
35,42827.5,0.60267,0.35113,0.97935,0.91493,0.82611,0.89118,0.70975,0.51924,0.26447,0.91657,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538,0.00157961,0.000526538
36,44394.1,0.57876,0.34554,0.96487,0.87684,0.82748,0.87085,0.71146,0.50857,0.2637,0.9138,0.00154587,0.000515289,0.00154587,0.000515289,0.00154587,0.000515289,0.00154587,0.000515289
37,45751.2,0.57686,0.34377,0.97075,0.92636,0.81715,0.88772,0.72645,0.51361,0.26558,0.9206,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
38,46664,0.57934,0.33997,0.9721,0.90294,0.86142,0.91434,0.74407,0.51315,0.25632,0.91919,0.00147837,0.000492792,0.00147837,0.000492792,0.00147837,0.000492792,0.00147837,0.000492792
39,48619.9,0.58237,0.34005,0.96676,0.86759,0.87005,0.90158,0.72883,0.51334,0.25857,0.9176,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543,0.00144463,0.000481543
40,49801.1,0.57177,0.33396,0.95954,0.91009,0.84103,0.88009,0.71664,0.51028,0.26189,0.90296,0.00141088,0.000470294,0.00141088,0.000470294,0.00141088,0.000470294,0.00141088,0.000470294
41,51116.3,0.56305,0.32721,0.94859,0.89136,0.83146,0.87974,0.7169,0.51104,0.26226,0.90636,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
42,53968.4,0.56275,0.33114,0.9559,0.88719,0.85211,0.90316,0.73641,0.51735,0.26056,0.90686,0.00134339,0.000447796,0.00134339,0.000447796,0.00134339,0.000447796,0.00134339,0.000447796
43,54888.3,0.56774,0.33004,0.95773,0.92678,0.84969,0.89955,0.73465,0.51256,0.2599,0.90573,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547,0.00130964,0.000436547
44,56496.9,0.5552,0.32794,0.95497,0.90745,0.85205,0.9014,0.73446,0.51514,0.2578,0.91046,0.0012759,0.000425298,0.0012759,0.000425298,0.0012759,0.000425298,0.0012759,0.000425298
45,57304,0.54171,0.31953,0.94357,0.8997,0.85526,0.89246,0.72824,0.51174,0.25318,0.91142,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
46,58244.8,0.54899,0.32039,0.95103,0.90135,0.83269,0.89472,0.72477,0.51328,0.25706,0.91048,0.0012084,0.000402801,0.0012084,0.000402801,0.0012084,0.000402801,0.0012084,0.000402801
47,59355.6,0.54167,0.31805,0.94682,0.90475,0.84995,0.90503,0.73477,0.51342,0.25587,0.90951,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552,0.00117466,0.000391552
48,60868.8,0.53549,0.31533,0.94823,0.86514,0.862,0.89916,0.74046,0.50643,0.25316,0.91463,0.00114091,0.000380303,0.00114091,0.000380303,0.00114091,0.000380303,0.00114091,0.000380303
49,62772.9,0.53144,0.30763,0.94003,0.90077,0.8322,0.89232,0.73137,0.51334,0.25858,0.91425,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
50,65162.8,0.53368,0.30791,0.94639,0.91742,0.81693,0.89337,0.73795,0.51204,0.25416,0.91868,0.00107342,0.000357805,0.00107342,0.000357805,0.00107342,0.000357805,0.00107342,0.000357805
